Year,Player,Position,Age,School,Height,Weight,40 Yard Dash,Vertical,Bench Reps,Broad Jump,3Cone,Shuttle,Round,Team,Conference
2020,Julian Okwara,DL,22,Notre Dame,6.4 ft,252,N/A,N/A,27,N/A,N/A,N/A,3,Detroit Lions,Ind. (FBS)
2020,Troy Pride,CB,N/A,Notre Dame,5.11 ft,193,4.4,35.5,13,119,6.94,4.26,4,Carolina Panthers,Ind. (FBS)
2020,Khalid Kareem,DL,N/A,Notre Dame,6.4 ft,268,N/A,N/A,N/A,N/A,N/A,N/A,5,Cincinatti Bengals,Ind. (FBS)
2020,Tony Jones,RB,N/A,Notre Dame,5.10 ft,220,4.68,32.5,13,119,7.18,4.21,N/A,N/A,Ind. (FBS)
2020,Chase Young,DL,20,Ohio State,6.5 ft,264,N/A,N/A,N/A,N/A,N/A,N/A,1,Washington Redskins,Big 10
2020,Jeff Okudah,CB,21,Ohio State,6.1 ft,205,4.48,41,11,135,N/A,N/A,3,Detroit Lions,Big 10
2020,Jonah Jackson,OL,23,Ohio State,6.3 ft,306,5.23,26,28,98,7.83,5.02,3,Detroit Lions,Big 10
2020,K.J. Hill,WR,N/A,Ohio State,6.1 ft,196,4.6,32.5,17,114,N/A,N/A,7,Los Angeles Chargers,Big 10
2020,Austin Mack,WR,N/A,Ohio State,6.1 ft,208,4.59,31.5,N/A,117,N/A,4.42,N/A,N/A,Big 10
2020,Ben Victor,WR,N/A,Ohio State,6.4 ft,198,4.6,35,9,128,7.1,N/A,N/A,N/A,Big 10
2020,CeeDee Lamb,WR,20,Oklahoma,6.2 ft,198,4.5,34.5,11,124,N/A,N/A,1,Dallas Cowboys,Big 12
2020,Kenneth Murray,LB,21,Oklahoma,6.2 ft,241,4.52,38,21,129,N/A,N/A,1,Los Angeles Chargers,Big 12
2020,Jalen Hurts,QB,21,Oklahoma,6.1 ft,222,4.59,35,N/A,125,N/A,N/A,2,Philadelphia Eagles,Big 12
2020,Justin Herbert,QB,21,Oregon,6.6 ft,236,4.68,35.5,N/A,123,7.06,4.46,1,Los Angeles Chargers,Pac 12
2020,Shane Lemieux,OL,N/A,Oregon,6.4 ft,310,5.11,25.5,N/A,107,8.13,4.9,5,New York Giants,Pac 12
2020,Juwan Johnson,WR,N/A,Oregon,6.4 ft,230,4.58,33,14,124,6.94,4.37,N/A,N/A,Pac 12
2020,Calvin Throckmorton,OL,N/A,Oregon,6.5 ft,317,5.57,27,23,97,8.07,4.98,N/A,N/A,Pac 12
2020,Isaiah Hodgins,WR,N/A,Oregon State,6.4 ft,210,4.61,36.5,9,124,7.01,4.12,6,Buffalo Bills,Pac 12
2020,Jake Luton,QB,N/A,Oregon State,6.6 ft,224,N/A,N/A,N/A,N/A,N/A,N/A,6,Jacksonville Jaguars,Pac 12
2020,John Reid,CB,N/A,Penn State,5.10 ft,187,4.49,36.5,20,129,6.95,3.97,4,Houston Texans,Big 10
2020,Rob Windsor,DL,N/A,Penn State,6.4 ft,290,4.9,28.5,21,111,7.47,4.44,6,Indianapolis Colts,Big 10
2020,Dane Jackson,CB,N/A,Pittsburgh,6.1 ft,187,4.57,35,N/A,122,7.07,4.27,7,Buffalo Bills,Big East
2020,Charlie Taumoepeau,TE,N/A,Portland State,6.2 ft,240,4.75,36.5,18,121,7,4.27,N/A,N/A,Big Sky
2020,Brycen Hopkins,TE,N/A,Purdue,6.4 ft,245,4.66,33.5,21,116,7.25,4.28,4,Los Angeles Rams,Big 10
2020,Aaron Parker,WR,N/A,Rhode Island,6.2 ft,209,4.57,26.5,12,112,6.94,4.23,N/A,N/A,CAA
2020,Kyle Murphy,OL,N/A,Rhode Island,6.3 ft,316,5.3,28,19,104,7.81,4.68,N/A,N/A,CAA
2020,Keith Ismael,OL,N/A,San Diego State,6.3 ft,309,5.34,32,N/A,108,8.14,4.65,5,Washington Redskins,MW
2020,James Proche,WR,N/A,SMU,5.11 ft,201,N/A,34.5,20,N/A,7.27,4.4,6,Baltimore Ravens,AAC
2020,Javon Kinlaw,DL,22,South Carolina,6.5 ft,324,N/A,N/A,N/A,N/A,N/A,N/A,1,San Franciscso 49ers,SEC
2020,D.J. Wonnum,DL,N/A,South Carolina,6.5 ft,258,4.73,34.5,20,123,7.25,4.44,N/A,Minnesota Vikings,SEC
2020,Alex Taylor,OL,N/A,South Carolina State,6.8 ft,308,5.09,25,21,116,7.77,4.79,N/A,N/A,MEAC
2020,Mitchell Wilcox,TE,N/A,South Florida,6.3 ft,247,4.88,31,N/A,112,7.37,4.43,N/A,N/A,The American
2020,Quez Watkins,WR,N/A,Southern Miss,6.1 ft,185,4.35,36.5,N/A,125,7.28,4.36,6,Philadelphia Eagles,C-USA
2020,Colby Parkinson,TE,N/A,Stanford,6.7 ft,252,4.77,32.5,18,109,7.15,4.46,4,Seattle Seahawks,Pac 12
2020,Casey Toohill,LB,N/A,Stanford,6.4 ft,250,4.62,39,17,126,7.08,4.21,7,Philadelphia Eagles,Pac 12
2020,Alton Robinson,DL,N/A,Syracuse,6.3 ft,264,4.69,35.5,25,119,7.32,4.32,5,Seattle Seahawks,Big East 
2020,Sterling Hofrichter,P,N/A,Syracuse,5.10 ft,196,N/A,N/A,N/A,N/A,N/A,N/A,7,Atlanta Falcons,Big East 
